"yq","hist_value","lo90","lo66","median","up66","up90"
2015 Q1,18666.621,NA,NA,NA,NA,NA
2015 Q2,18782.243,NA,NA,NA,NA,NA
2015 Q3,18857.418,NA,NA,NA,NA,NA
2015 Q4,18892.206,NA,NA,NA,NA,NA
2016 Q1,19001.69,NA,NA,NA,NA,NA
2016 Q2,19062.709,NA,NA,NA,NA,NA
2016 Q3,19197.938,NA,NA,NA,NA,NA
2016 Q4,19304.352,NA,NA,NA,NA,NA
2017 Q1,19398.343,NA,NA,NA,NA,NA
2017 Q2,19506.949,NA,NA,NA,NA,NA
2017 Q3,19660.766,NA,NA,NA,NA,NA
2017 Q4,19882.352,NA,NA,NA,NA,NA
2018 Q1,20044.077,NA,NA,NA,NA,NA
2018 Q2,20150.476,NA,NA,NA,NA,NA
2018 Q3,20276.154,NA,NA,NA,NA,NA
2018 Q4,20304.874,NA,NA,NA,NA,NA
2019 Q1,20431.641,NA,NA,NA,NA,NA
2019 Q2,20602.275,NA,NA,NA,NA,NA
2019 Q3,20843.322,NA,NA,NA,NA,NA
2019 Q4,20985.448,NA,NA,NA,NA,NA
2020 Q1,20693.238,NA,NA,NA,NA,NA
2020 Q2,19056.617,NA,NA,NA,NA,NA
2020 Q3,20548.793,NA,NA,NA,NA,NA
2020 Q4,20771.691,NA,NA,NA,NA,NA
2021 Q1,21058.379,NA,NA,NA,NA,NA
2021 Q2,21389.005,NA,NA,NA,NA,NA
2021 Q3,21571.421,NA,NA,NA,NA,NA
2021 Q4,21960.388,NA,NA,NA,NA,NA
2022 Q1,21903.85,NA,NA,NA,NA,NA
2022 Q2,21919.222,NA,NA,NA,NA,NA
2022 Q3,22066.784,NA,NA,NA,NA,NA
2022 Q4,22249.459,NA,NA,NA,NA,NA
2023 Q1,22403.435,NA,NA,NA,NA,NA
2023 Q2,22539.418,NA,NA,NA,NA,NA
2023 Q3,22780.933,NA,NA,NA,NA,NA
2023 Q4,22960.6,NA,NA,NA,NA,NA
2024 Q1,23053.545,NA,NA,NA,NA,NA
2024 Q2,23223.906,NA,NA,NA,NA,NA
2024 Q3,23400.294,NA,NA,NA,NA,NA
2024 Q4,23542.349,NA,NA,NA,NA,NA
2025 Q1,23526.085,NA,NA,NA,NA,NA
2025 Q2,NA,23151.7560820807,23291.9767233713,23492.9303129409,23721.7191456418,23877.9246710917
2025 Q3,NA,23045.7905115095,23247.4885046884,23500.3782601289,23759.0488004715,23943.0671538049
2025 Q4,NA,23004.0287853116,23262.5808369393,23531.5077624725,23826.9252136381,24094.169208739
2026 Q1,NA,22993.0099977187,23245.9294441638,23601.6404194802,23949.3342049081,24244.2267659993
2026 Q2,NA,22974.8947434966,23224.5452977532,23630.4379369772,24056.514616073,24364.5146267615
2026 Q3,NA,22937.1491431751,23250.1213355475,23696.8522893249,24173.0777602693,24467.1168280703
2026 Q4,NA,22900.9390364738,23300.7087932445,23799.3020514274,24260.2021221109,24669.2054564485
2027 Q1,NA,22940.2973328545,23306.4982914701,23870.6813679187,24407.512689358,24824.4184121883
2027 Q2,NA,22924.2182886012,23403.86377761,23991.4426723157,24558.8249073918,24949.793507354
2027 Q3,NA,22991.5611070979,23469.215472412,24058.1326580597,24727.7991040368,25156.7940926374
2027 Q4,NA,23029.8060542268,23540.4800020323,24205.053457614,24886.6272972722,25402.1848381182
2028 Q1,NA,23070.0338510358,23639.1500856769,24351.5175039426,25078.0416651451,25614.925115134
2028 Q2,NA,23117.187154603,23750.3127187634,24487.3982195823,25281.0426331743,25849.6990189552
2028 Q3,NA,23185.1847379233,23875.2179665554,24643.8668004696,25476.1871374367,26102.1701779774
2028 Q4,NA,23331.111016268,23954.5561395626,24811.8484834782,25657.3001880927,26341.7947977323
2029 Q1,NA,23378.0070707562,24073.2647775891,25010.9460383397,25892.014845294,26582.3978768742
